policy_id,client_id,line_of_business,issuing_carrier,issued_on,expiry_date,premium_amount,premium_bill_to,renewal_status,last_updated,broker_commision_pct
P006862,C009202,Amenity horticulturist,"Campbell, Alvarez and Meyer Insurance Inc.",2006-10-23,2026-10-23,3914.9308455931973,Premium Finance Company,Canceled,2025-11-28,16.640909683054794
P005840,C005158,Rural practice surveyor,Morrison Ltd Insurance Inc.,2006-04-14,2026-04-14,222.48254932888486,Direct Bill,New,2025-11-28,8.855285174806436
P007510,C008949,Retail buyer,Harris Inc Insurance Inc.,2006-01-07,2026-01-07,237.36300369077773,Mortgagee,New,2025-11-28,15.37440853230785
P002942,C004927,Industrial buyer,Vaughan Inc Insurance Inc.,2006-07-03,2026-07-03,911.528853620921,Agency Bill,Renewal Quoted,2025-11-28,17.28386065021009
P004942,C001838,"Engineer, maintenance (IT)",Wallace-Clark Insurance Inc.,2006-10-01,2026-10-01,225.18144251593048,Subsidiary,Marketing,2025-11-28,7.657231100467422
P007588,C003561,Trade union research officer,Kane LLC Insurance Inc.,2005-12-08,2025-12-08,255.41769682132326,Premium Finance Company,New,2025-11-28,12.058390602629853
P001173,C002512,Seismic interpreter,"Smith, Tate and Watts Insurance Inc.",2006-03-03,2026-03-03,391.1860461623968,Parent Company,Renewal Quoted,2025-11-28,13.17673165113518
P008429,C005725,"Engineer, maintenance",Flynn-Kim Insurance Inc.,2006-11-18,2026-11-18,361.704595136018,Agency Bill,Renewal Quoted,2025-11-28,15.215367134438655
P009760,C001112,"Designer, interior/spatial","Lester, Hunter and Bailey Insurance Inc.",2006-04-17,2026-04-17,717.1586737484441,Subsidiary,Canceled,2025-11-28,13.124482574682197
P007302,C002211,"Designer, furniture",Rogers Ltd Insurance Inc.,2006-09-19,2026-09-19,384.04612046329754,Parent Company,Canceled,2025-11-28,8.59940848535625
P002805,C003217,Animator,Powell-Taylor Insurance Inc.,2006-02-10,2026-02-10,116.87853271957711,Direct Bill,New,2025-11-28,10.814303919272032
P003628,C005535,Television camera operator,Robinson-Aguilar Insurance Inc.,2005-12-05,2025-12-05,478.7466867890334,Direct Bill,New,2025-11-28,9.567584978636278
P008053,C004088,Trade union research officer,"Singh, Owen and Moore Insurance Inc.",2006-01-19,2026-01-19,365.29931947606633,Premium Finance Company,New,2025-11-28,12.569813533231171
P006423,C002813,Industrial buyer,Graham PLC Insurance Inc.,2006-06-06,2026-06-06,822.405724158959,Insured,New,2025-11-28,3.5766950457579707
P002506,C005784,"Designer, blown glass/stained glass",Barnes-Francis Insurance Inc.,2006-01-16,2026-01-16,296.9059501201379,Insured,New,2025-11-28,9.612046003436985
P007365,C004388,Warden/ranger,Chambers-Cox Insurance Inc.,2006-01-24,2026-01-24,167.80584673732818,Payroll Vendor,New,2025-11-28,8.02509429590103
P001297,C007000,Firefighter,Murray PLC Insurance Inc.,2006-01-10,2026-01-10,1158.3881538193193,Premium Finance Company,Canceled,2025-11-28,9.982095573035805
P004640,C001087,Medical laboratory scientific officer,Garza Inc Insurance Inc.,2006-03-01,2026-03-01,368.3442561629777,Premium Finance Company,Renewal Quoted,2025-11-28,14.826840141498378
P003479,C008942,Tax adviser,"Johnson, Castro and Perez Insurance Inc.",2006-05-03,2026-05-03,281.221368358274,Mortgagee,Canceled,2025-11-28,4.43944581414703
P002633,C002778,Systems developer,Taylor-Robbins Insurance Inc.,2006-10-28,2026-10-28,1351.8718050303005,Insured,Marketing,2025-11-28,12.979328166555346
P008584,C009962,"Administrator, education","Miles, Larsen and Sanders Insurance Inc.",2006-11-01,2026-11-01,2978.660931885421,Third-Party Billing,Marketing,2025-11-28,12.961504474655808
P005557,C006082,Environmental consultant,"Stewart, Park and Payne Insurance Inc.",2006-06-11,2026-06-11,286.29029919011185,Third-Party Billing,Marketing,2025-11-28,9.969524366550338
P006546,C007039,"Psychologist, occupational",Wilson and Sons Insurance Inc.,2006-09-12,2026-09-12,846.2005988413069,Direct Bill,Marketing,2025-11-28,6.875858591317882
P006316,C001202,Oceanographer,Smith Group Insurance Inc.,2005-12-23,2025-12-23,505.85506984115574,Payroll Vendor,New,2025-11-28,12.96574965952715
P001388,C002961,"Nurse, adult","Russell, Thomas and Wilson Insurance Inc.",2006-07-11,2026-07-11,607.2104097161966,Agency Bill,Renewal Quoted,2025-11-28,11.283509342862832
P001663,C009907,Armed forces operational officer,Oliver-Davis Insurance Inc.,2006-06-22,2026-06-22,342.97755505093477,Agency Bill,Renewal Quoted,2025-11-28,4.530724958734569
P004038,C007606,"Psychologist, prison and probation services",Pugh Group Insurance Inc.,2006-09-23,2026-09-23,263.2038080088207,Third-Party Billing,New,2025-11-28,10.577620151621451
P003464,C005794,Event organiser,Mann-Anderson Insurance Inc.,2006-05-30,2026-05-30,7012.881052202296,Mortgagee,Renewal Quoted,2025-11-28,10.15203217428349
P009553,C009986,Geophysical data processor,Johnson-Oliver Insurance Inc.,2006-11-14,2026-11-14,679.4849235376197,Insured,Renewal Quoted,2025-11-28,10.975645889410721
P005100,C006115,Multimedia programmer,White Inc Insurance Inc.,2006-01-26,2026-01-26,2869.017079980112,Premium Finance Company,New,2025-11-28,8.98578857478017
P004018,C007353,"Scientist, marine","Dalton, Rodriguez and Williams Insurance Inc.",2006-01-19,2026-01-19,386.56115432977833,Subsidiary,Canceled,2025-11-28,8.84368110171659
P009266,C005338,Call centre manager,Roy-Mcdowell Insurance Inc.,2006-10-20,2026-10-20,235.64059607381074,Parent Company,Renewal Quoted,2025-11-28,11.372719915289169
P003647,C008838,Writer,Zimmerman Group Insurance Inc.,2006-04-24,2026-04-24,627.5012556699041,Direct Bill,Renewal Quoted,2025-11-28,2.1401066547435565
P002248,C007419,"Designer, fashion/clothing",Washington LLC Insurance Inc.,2006-10-14,2026-10-14,654.623908632273,Agency Bill,Marketing,2025-11-28,10.741762611605097
P001299,C001176,"Surveyor, rural practice",Marshall-Hester Insurance Inc.,2005-11-29,2025-11-29,411.57182643013465,Payroll Vendor,Renewal Quoted,2025-11-28,7.196404020887049
P003700,C009594,"Designer, jewellery",Owens and Sons Insurance Inc.,2006-02-10,2026-02-10,2289.5030296551977,Third-Party Billing,New,2025-11-28,15.581917415244025
P006503,C009087,Contractor,Patel PLC Insurance Inc.,2006-01-22,2026-01-22,764.5336132241044,Direct Bill,Renewal Quoted,2025-11-28,7.104516370544635
P006002,C003660,"Designer, ceramics/pottery","Thornton, Holt and Weber Insurance Inc.",2006-05-04,2026-05-04,343.57921461131815,Third-Party Billing,Marketing,2025-11-28,15.015684629687645
P005427,C001678,"Education officer, environmental",Johnson-Ramirez Insurance Inc.,2006-09-20,2026-09-20,410.98650997282465,Direct Bill,New,2025-11-28,19.462238171631533
P002631,C003470,Restaurant manager,Thomas-Martin Insurance Inc.,2006-09-23,2026-09-23,620.14705714632,Third-Party Billing,Marketing,2025-11-28,13.697629003126847
P006743,C006395,Marine scientist,"Pearson, Osborne and Morris Insurance Inc.",2005-12-08,2025-12-08,466.2327501507809,Direct Bill,Renewal Quoted,2025-11-28,8.681731986186826
P007995,C004450,"Psychologist, forensic",Wilkinson-Strong Insurance Inc.,2006-05-23,2026-05-23,527.4041727928235,Payroll Vendor,Renewal Quoted,2025-11-28,9.787176448741452
P008447,C008519,Economist,Johnson Inc Insurance Inc.,2006-10-16,2026-10-16,159.56531336670048,Subsidiary,Renewal Quoted,2025-11-28,14.357041016576659
P006244,C006715,"Surveyor, insurance","Warner, Mendoza and Walters Insurance Inc.",2006-07-21,2026-07-21,846.5752742152812,Premium Finance Company,New,2025-11-28,12.93618550336474
